question,answer
What are the afferent cranial nerve nuclei?,"Trigeminal sensory nucleus- fibres carry general sensory info (pain, touch, pressure, temperature) and terminate at this nucleus Vestibular and cochlear nucleus- fibres carrying special senses of hearing and positional sense run in the vestibulocochlear nerve to these nuclei Nucleus solitarius - visceral afferents terminate at this nucleus of the medulla"
What is the order of the cranial nerves ?,1-olfactory\n2-optic\n3-oculomotor\n4-trochlear\n5-trigeminal \n6-abducens\n7-facial\n8-vestibulocochlear\n9-glossopharyngeal\n10-vagus\n11-accessory\n12-hypoglossal
What are the efferent cranial nerve nuclei?,Edinger-westphal nucleus\nOculomotor nucleus\nTrochlear nucleus\nTrigeminal motor nucleus \nAbducens nucleus \nFacial motor nucleus \nSalivatory nuclei \nNucleus ambiguus\nDorsal motor nucleus of vagus \nHypoglossal nucleus
Which nuclei share the embryo logical origin -nuclei of the somatic efferent cell column ?,Oculomotor nucleus Trochlear nucleus Abducens nucleus Hypoglossal nucleus
Which nuclei share the embryo logical origin- nuclei of the branchiomotor cell column?,Trigeminal motor nucleus Facial motor nucleus Nucleus ambiguus
Which nuclei share the embryo logical origin- nuclei of the parasympathetic cell column ?,Edinger-Westphal nucleus Superior and inferior salivatory nucleus Dorsal motor nucleus of the vagus
Which cranial nerves are sensory ?,Olfactory Optic Vestibulocochlear
Which cranial nerves are motor?,Oculomotor\nTrochlear \nAbducens\nAccessory\nHypoglossal
Which of the cranial nerves have both sensory and motor control ?,TrigeminalFacial GlossopharyngealVagus
What is the function of cranial nerve 1?,The olfactory nerve is a sensory fibre for the nose
What is the function of the olfactory nerve ?,It’s component fibres are sensory and it’s involved in olfaction It innervates olfactory epithelium via the olfactory bulb
What is the function of the optic nerve ?,It’s component fibres are sensory and they are involved in vision It innervate retina
What are the functions of the oculomotor nerve ?,"Its component motor fibres are involved in the movement of the eye by innervating the superior, inferior and medial rectus, inferior oblique ( it’s able to elevate, depress and addict the eye) and levator palebrae muscles - motor neurons going to these extra ocular muscles have their cell bodies in the oculomotor nucleus\nIts component parasympathetic fibres are involved in pupil construction and accommodation by innervating pupillary constrictor and ciliary muscles of the eye via ciliary ganglion -these preganglionic fibres arise from the Edinburgh-Westphal nucleus"
What are the functions of the trochlear nerve ?,It’s component motor fibres are involved in the movement if the eye by innervating the superior oblique muscle (moves eye downwards and medially) - the motor neurons arise from the trochlear nucleus IT IS THE ONLY CRANIAL NERVE THAT EMERGES FROM THE DORSAL ASPECT OF THE BRAINSTEM.
What are the functions of the trigeminal nerve ?,"It’s component sensory fibres are involved in general sensations by innervating the face, scalp, cornea, nasal and oral cavities and cranial dura mater\nIt’s component motor fibres are involved in opening and closing of the mouth by innervating the muscles of mastication and they are also involved in tension on tympanic membrane by innervating tensor tympani muscles"
What are the functions of the abducens nerve ?,It’s component motor fibres are involved in the movement of the eye by innervating the lateral rectus muscles
What are the functions of the facial nerve ?,It’s component sensory fibres are involved in taste by innervating the anterior 2/3 of the tongue\nIt’s component motor fibres are involved in facial movements by innervating the muscles of facial expression\nIt’s component parasympathetic fibres are involved in salivation and lacrimination by innervating the salivary and lacrimal glands via submandibular and pyerygopalatine ganglia
What are the functions of the vestibulocochlear nerve ?,It’s component sensory fibres are involved in position and movement of the head by innervating vestibular apparatus\nIt’s other component sensory fibres are involved in hearing by innervating cochlea I
What are the functions if the glossopharyngeal nerve ?,It’s component sensory fibres are involved in general sensation and taste by innervating the pharynx and posterior 1/3 of the tongue\nOther component sensory fibres are involved in general sensation by innervating the Eustachian tube and middle ear\nOther component sensory fibres are involved in chemo and Baro-reception by innervating the carotid body and carotid sinus\nIts component motor fibres are involved in swallowing by innervating the stylopharyngeus muscles\nIt’s component parasympathetic fibres are involved in salivation by innervating parotid salivary gland via otic ganglion
