question,answer
"Following endaerectomy on the right common carotid, a patient is found to be blind in the right eye. It is appears that a small thrombus embolized during surgery and lodged in the aery supplying the optic nerve. Which aery would be blocked?",Central aery of the retina
Hypomimia is ?,Deficit of expression by gesture
With which of the following receptors theophylline has an antagonistic interaction ?,Adenosine receptors
"During Sx for meningioma, the left paracentral lobule was injured. It would lead to paresis of",Rt. Leg and perineus
All of the following structure lies outside the cavernous sinus except,Maxillary nerve
Mark the true statement regarding use of Lithium in maniac-depressive psychosis?,Can result in leucocytosis
"In caloric test, cold water stimulation causes movement of eye -",Opposite side
"Botulinum affects all of the following, EXCEPT:",CNS
Burst supression pattern on EEG is typically seen in:,Anoxic encephalopathy
"Headache, apathy and deteriorating level of consciousness occurring weeks after head injury suggests;",Chronic subdral haematoma.
Asymmetric tonic neck reflex (ATNR) disappears at ______,6 months
Which of the following is released from hypothalamus?,Cortisol releasing hormone
Vestibulo-Ocular Reflex Mediated by:,Flocculonodular Lobe
Which statement best describes the cranial fossa?,The middle cranial fossa is floored by the sphenoid and temporal bones.
"Following death of a person, what happens to potassium level in the vitreous.",Potassium level increases
The drug used in petit mal seizures and has a narrow spectrum of antiepileptic activity is,Ethosuximide
Antibodies associated with GTCS in SLE :,Anti neuronal ab
Which of the following statements about Total Infra–Venous Anaesthesia (TIVA) is true –,Reduces Cerebral Metabolic Rate
"In Profound MR, IQ is",< 20
True about polio:,IM injections and increased muscular activity lead to increased paralysis
"A 74-year-old woman develops occipital headache, vomiting, and dizziness. She looks unwell, her blood pressure is 180/100 mm Hg, pulse is 70/min, and respirations are 30/min. She is unable to sit or walk because of unsteadiness. Over the next few hours, she develops a decline in her level of consciousness.For the above patient with altered level of consciousness, select the most likely diagnosis.",cerebellar hemorrhage
Inherited hyperammonemia is a result of deficiency of which enzyme of Krebs-Henseleit urea cycle?,N-acetyl glutamate synthetase
Features of neurogenic shock are,↓Peripheral resistence↓cardiac output
Neuro lathyrism results due to,BOAA
In which case cystometric study is indicated -,Neurogenic bladder
Pain-sensitive intracranial structure is:,Duramater
Lines of Blaschko&;s are along,Developmental
Middle aged female with mass in sella turcica hormone increased is -,Prolactin
"""Acute Meningoencephalitis"" is caused by:",Nageleria
Most sensitive nerve fiber to hypoxia,B
Least conduction velocity is seen in:,AV node
Post traumatic stress disorder is differentiated from other anxiety disorders by which of the following symptoms?,Re-living of past adverse event
Which of the following nerve is involved in Frey's syndrome?,Ariculo temporal
Which anaesthetic agent increases intracranial tension among the following,Sevoflurane
Rett's syndrome occurs due to deficiency of ?,Biotin
Which of the following results in increase in secretion of ADH?,Hypovolemia
Which of the following nerves are affected after spinal anaesthetic block –,"Sensory, autonomic and motor nerves"
Schwann cells are derived from:,Neural crest cells
Pain felt between great toe and 2nd toe is due to involvement of which nerve root -,L5
HIV can -,Cross blood brain barrier
Bidextrous grip is seen at what age?,4 months
A victim of Tsunami has difficulty in overcoming the experience. She still recollects the happening in dreams and thoughts. The most likely diagnosis is,Post traumatic stress disorder
