question,answer
SSPE. My son is 33years of age and did not have the measles vaccination.Could SSPE occur at this age or in the future?,"Subacute sclerosing panencephalitis: Subacute sclerosing panencephalitis (SSPE) is a progressive, disabling, and deadly brain disorder related to measles (rubeola) infection. The disease develops many years after the measles infection. Normally, the measles virus does not cause brain damage. But an abnormal immune response to measles or, possibly, certain mutant forms of the virus may cause severe illness and death. This response leads to brain inflammation (swelling and irritation) that may last for years. SSPE has been reported in all parts of the world, but in western countries it is a rare disease. Very few cases are seen in the U.S. since the nationwide measles vaccination program. SSPE tends to occur several years after a person has measles, even though the person seems to have fully recovered from the illness. Males are more often affected than females. The disease generally occurs in children and adolescents. Symptoms of SSPE occur in four general stages. With each stage, the symptoms are worse than the stage before: - Stage I: There may be personality changes, mood swings, or depression. Fever and headache may also be present. This stage may last up to 6 months. - Stage II: There may be uncontrolled movement problems including jerking and muscle spasms. Other symptoms that may occur in this stage are loss of vision, dementia, and seizures. - Stage III: Jerking movements are replaced by writhing (twisting) movements and rigidity. Death may occur from complications. - Stage IV: Areas of the brain that control breathing, heart rate, and blood pressure are damaged. This leads to coma and then death. There may be a history of measles in an unvaccinated child. A physical examination may reveal: - Damage to the optic nerve, which is responsible for sight - Damage to the retina, the part of the eye that receives light - Muscle twitching - Poor performance on motor (movement) coordination tests The following tests may be performed: - Electroencephalogram (EEG) - Brain MRI - Serum antibody titer to look for signs of previous measles infection - Spinal tap No cure for SSPE exists. However, certain antiviral drugs and drugs that boost the immune system may slow the progression of the disease. SSPE is always fatal. People with this disease die 1 to 3 years after diagnosis. Some people may survive longer. Call your health care provider if your child has not completed their scheduled vaccines. The measles vaccine is included in the MMR vaccine. Immunization against measles is the only known prevention for SSPE. The measles vaccine has been highly effective in reducing the numbers of affected children. Measles immunization should be done according to the recommended American Academy of Pediatrics and Centers for Disease Control schedule. Updated by: Amit M. Shelat, DO, FACP, Attending Neurologist and Assistant Professor of Clinical Neurology, SUNY Stony Brook, School of Medicine. Review provided by VeriMed Healthcare Network. Also reviewed by David Zieve, MD, MHA, Isla Ogilvie, PhD, and the A.D.A.M. Editorial team."
Homozygout MTHFR A1298C Health Issues and long term prognosis?. What is your position on Homozygout MTHFR A1298C Health Issues and long term prognosis?,"MTHFR gene variant (Inheritance): Because each person has two copies of the MTHFR gene , people can inherit one copy of a  MTHFR gene variant or two copies of it (one from each parent). People who inherit two copies of C677T have a higher risk for having a child with a neural tube defect. Having two C677T variants and elevated homocysteine levels may cause a slightly higher risk for blood clots. [7]  Risks associated with having one C677T and one A1298C is the same, or possibly slightly lower than, that of having two C677T gene changes. [7] [4] Rare MTHFR gene variants can lead to homocystinuria, which is inherited in an autosomal recessive  manner. [12] Visit our "" Homocystinuria due to MTHFR deficiency"" webpage."
What is Stroke?,"Stroke: A stroke occurs when the blood supply to part of the brain is suddenly interrupted or when a blood vessel in the brain bursts, spilling blood into the spaces surrounding brain cells. Brain cells die when they no longer receive oxygen and nutrients from the blood or there is sudden bleeding into or around the brain. The symptoms of a stroke include sudden numbness or weakness, especially on one side of the body; sudden confusion or trouble speaking or understanding speech; sudden trouble seeing in one or both eyes; sudden trouble with walking, dizziness, or loss of balance or coordination; or sudden severe headache with no known cause. There are two forms of stroke: ischemic - blockage of a blood vessel supplying the brain, and hemorrhagic - bleeding into or around the brain. Generally there are three treatment stages for stroke: prevention, therapy immediately after the stroke, and post-stroke rehabilitation. Therapies to prevent a first or recurrent stroke are based on treating an individual's underlying risk factors for stroke, such as hypertension, atrial fibrillation, and diabetes. Acute stroke therapies try to stop a stroke while it is happening by quickly dissolving the blood clot causing an ischemic stroke or by stopping the bleeding of a hemorrhagic stroke. Post-stroke rehabilitation helps individuals overcome disabilities that result from stroke damage. Medication or drug therapy is the most common treatment for stroke. The most popular classes of drugs used to prevent or treat stroke are antithrombotics (antiplatelet agents and anticoagulants) and thrombolytics. Although stroke is a disease of the brain, it can affect the entire body. A common disability that results from stroke is complete paralysis on one side of the body, called hemiplegia. A related disability that is not as debilitating as paralysis is one-sided weakness or hemiparesis. Stroke may cause problems with thinking, awareness, attention, learning, judgment, and memory. Stroke survivors often have problems understanding or forming speech. A stroke can lead to emotional problems. Stroke patients may have difficulty controlling their emotions or may express inappropriate emotions. Many stroke patients experience depression. Stroke survivors may also have numbness or strange sensations. The pain is often worse in the hands and feet and is made worse by movement and temperature changes, especially cold temperatures. Recurrent stroke is frequent; about 25 percent of people who recover from their first stroke will have another stroke within 5 years."
What causes Stroke?,"Ischemic Stroke (Summary): Summary A stroke is a medical emergency. There are two types - ischemic and hemorrhagic. Ischemic stroke is the most common type. It is usually caused by a blood clot that blocks or plugs a blood vessel in the brain. This keeps blood from flowing to the brain. Within minutes, brain cells begin to die. Another cause is stenosis, or narrowing of the artery. This can happen because of atherosclerosis, a disease in which plaque builds up inside your arteries. Transient ischemic attacks (TIAs) occur when the blood supply to the brain is interrupted briefly. Having a TIA can mean you are at risk for having a more serious stroke. Symptoms of stroke are - Sudden numbness or weakness of the face, arm or leg (especially on one side of the body) - Sudden confusion, trouble speaking or understanding speech - Sudden trouble seeing in one or both eyes - Sudden trouble walking, dizziness, loss of balance or coordination - Sudden severe headache with no known cause It is important to treat strokes as quickly as possible. Blood thinners may be used to stop a stroke while it is happening by quickly dissolving the blood clot. Post-stroke rehabilitation can help people overcome disabilities caused by stroke damage. NIH: National Institute of Neurological Disorders and Stroke"
What are the symptoms of Stroke?,"What are the symptoms of Stroke?: The signs and symptoms of a stroke often develop quickly. However, they can develop over hours or even days. The type of symptoms depends on the type of stroke and the area of the brain thats affected. How long symptoms last and how severe they are vary among different people. Signs and symptoms of a stroke may include: Sudden weakness Paralysis (an inability to move) or numbness of the face, arms, or legs, especially on one side of the body Confusion Trouble speaking or understanding speech Trouble seeing in one or both eyes Problems breathing Dizziness, trouble walking, loss of balance or coordination, and unexplained falls Loss of consciousness Sudden and severe headache A transient ischemic attack (TIA) has the same signs and symptoms as a stroke. However, TIA symptoms usually last less than 12 hours (although they may last up to 24 hours). A TIA may occur only once in a persons lifetime or more often. At first, it may not be possible to tell whether someone is having a TIA or stroke. All stroke-like symptoms require medical care. If you think you or someone else is having a TIA or stroke, call 911 right away. Do not drive to the hospital or let someone else drive you. Call an ambulance so that medical personnel can begin life-saving treatment on the way to the emergency room. During a stroke, every minute counts. Stroke Complications After youve had a stroke, you may develop other complications, such as: Blood clots and muscle weakness. Being immobile (unable to move around) for a long time can raise your risk of developing blood clots in the deep veins of the legs. Being immobile also can lead to muscle weakness and decreased muscle flexibility. Problems swallowing and pneumonia. If a stroke affects the muscles used for swallowing, you may have a hard time eating or drinking. You also may be at risk of inhaling food or drink into your lungs. If this happens, you may develop pneumonia. Loss of bladder control. Some strokes affect the muscles used to urinate. You may need a urinary catheter (a tube placed into the bladder) until you can urinate on your own. Use of these catheters can lead to urinary tract infections. Loss of bowel control or constipation also may occur after a stroke."
What are the treatments of Stroke?,"Stroke (Treatment): A stroke is a medical emergency. Quick treatment is needed. Call 9-1-1 or your local emergency number right away or seek urgent medical care at the first signs of a stroke. People who are having stroke symptoms need to get to a hospital as quickly as possible. - If the stroke is caused by a blood clot, a clot-busting drug may be given to dissolve the clot. - To be effective, this treatment must be started within 3 to 4 1/2 hours of when the symptoms first started. The sooner this treatment is started, the better the chance of a good outcome. Other treatments given in the hospital depend on the cause of the stroke. These may include: - Blood thinners such as heparin, warfarin (Coumadin), aspirin, or clopidogrel (Plavix) - Medicine to control risk factors, such as high blood pressure, diabetes, and high cholesterol - Special procedures or surgery to relieve symptoms or prevent more strokes - Nutrients and fluids Physical therapy, occupational therapy, speech therapy, and swallowing therapy will all begin in the hospital. If the person has severe swallowing problems, a feeding tube in the stomach (gastrostomy tube) will likely be needed. The goal of treatment after a stroke is to help you recover as much function as possible and prevent future strokes. Recovery from your stroke will begin while you are still in the hospital or at a rehabilitation center. It will continue when you go home from the hospital or center. Be sure to follow up with your health care provider after you go home."
What is Dementia?,"Dementia (WHAT IS DEMENTIA?): Dementia is the loss of cognitive functioning-thinking, remembering, and reasoning-and behavioral abilities to such an extent that it interferes with a person's daily life and activities. Dementia ranges in severity from the mildest stage, when it is just beginning to affect a person's functioning, to the most severe stage, when the person must depend completely on others for basic activities of living.Signs and symptoms of dementia result when once-healthy neurons (nerve cells) in the brain stop working, lose connections with other brain cells, and die. While everyone loses some neurons as they age, people with dementia experience far greater loss.While dementia is more common as people grow older (up to half of all people age 85 or older may have some form of dementia), it is not a normal part of aging. Many people live into their 90s and beyond without any signs of dementia. One type of dementia, frontotemporal disorders, is more common in middle-aged than older adults.Memory loss, though common, is not the only sign of dementia. For a person to have dementia, he or she must have:- Two or more core mental functions that are impaired. These functions include memory, language skills, visual perception, and the ability to focus and pay attention. These also include cognitive skills such as the ability to reason and solve problems. - A loss of brain function severe enough that a person cannot do normal, everyday tasksIn addition, some people with dementia cannot control their emotions. Their personalities may change. They can have delusions, which are strong beliefs without proof, such as the idea that someone is stealing from them. They also may hallucinate, seeing or otherwise experiencing things that are not real.The causes of dementia can vary, depending on the types of brain changes that may be taking place. Other dementias include Lewy body dementia, frontotemporal disorders, and vascular dementia. It is common for people to have mixed dementia-a combination of two or more disorders, at least one of which is dementia. For example, some people have both Alzheimer's disease and vascular dementia.Learn more about dementia from MedlinePlus."
What causes Dementia?,"What causes Dementia?: Dementia usually occurs in older age. It is rare in people under age 60. The risk of dementia increases as a person gets older. Most types of dementia are nonreversible (degenerative). Nonreversible means the changes in the brain that are causing the dementia cannot be stopped or turned back. Alzheimer disease is the most common type of dementia. Another common type of dementia is vascular dementia. It is caused by many small strokes. Lewy body disease is a common cause of dementia in the elderly. People with this condition have abnormal protein structures in certain areas of the brain. The following medical conditions can also lead to dementia: - Huntington disease - Brain injury - Multiple sclerosis - Infections such as HIV/AIDS, syphilis,and Lyme disease - Parkinson disease - Pick disease - Progressive supranuclear palsy Some causes of dementia may be stopped or reversed if they are found soon enough, including: - Brain injury - Brain tumors - Chronic alcohol abuse - Changes in blood sugar, sodium, and calcium levels (dementia due to metabolic causes) - Low vitamin B12 level - Normal pressure hydrocephalus - Use of certain medicines, including cimetidine and some cholesterol drugs"
What are the symptoms of Dementia?,"Dementia (Symptoms): Dementia symptoms include difficulty with many areas of mental function, including: - Emotional behavior or personality - Language - Memory - Perception - Thinking and judgment (cognitive skills) Dementia usually first appears as forgetfulness. Mild cognitive impairment (MCI) is the stage between normal forgetfulness due to aging and the development of dementia. People with MCI have mild problems with thinking and memory that do not interfere with daily activities. They often know about their forgetfulness. Not everyone with MCI develops dementia. Symptoms of MCI include: - Difficulty doing more than one task at a time - Difficulty solving problems or making decisions - Forgetting recent events or conversations - Taking longer to do more difficult mental activities Early symptoms of dementia can include: - Difficulty with tasks that take some thought, but that used to come easily, such as balancing a checkbook, playing games (such as bridge), and learning new information or routines - Getting lost on familiar routes - Language problems, such as trouble with the names of familiar objects - Losing interest in things previously enjoyed, flat mood - Misplacing items - Personality changes and loss of social skills, which can lead to inappropriate behaviors As dementia becomes worse, symptoms are more obvious and interfere with the ability to take care of oneself. Symptoms may include: - Change in sleep patterns, often waking up at night - Difficulty with basic tasks, such as preparing meals, choosing proper clothing, or driving - Forgetting details about current events - Forgetting events in one's own life history, losing self-awareness - Having hallucinations, arguments, striking out, and violent behavior - Having delusions, depression, agitation - More difficulty reading or writing - Poor judgment and loss of ability to recognize danger - Using the wrong word, not pronouncing words correctly, speaking in confusing sentences - Withdrawing from social contact People with severe dementia can no longer: - Perform basic activities of daily living, such as eating, dressing, and bathing - Recognize family members - Understand language Other symptoms that may occur with dementia: - Problems controlling bowel movements or urine - Swallowing problems"
How to diagnose Dementia?,"Dementia (Diagnosis): Diagnosing dementia and determining what type it is can be challenging. A diagnosis of dementia requires that at least two core mental functions be impaired enough to interfere with daily living. They are memory, language skills, ability to focus and pay attention, ability to reason and problem-solve, and visual perception. Your doctor will review your medical history and symptoms and conduct a physical examination. He or she will likely ask someone close to you about your symptoms, as well. No single test can diagnose dementia, so doctors are likely to run a number of tests that can help pinpoint the problem. Cognitive and neuropsychological tests Doctors will evaluate your thinking (cognitive) function. A number of tests measure thinking skills such as memory, orientation, reasoning and judgment, language skills, and attention. Neurological evaluation Doctors evaluate your memory, language, visual perception, attention, problem-solving, movement, senses, balance, reflexes and other areas. Brain scans - CT or MRI. These scans can check for evidence of stroke or bleeding or tumor or hydrocephalus. - PET scans. These can show patterns of brain activity and if the amyloid protein, a hallmark of Alzheimer's disease, has been deposited in the brain. Laboratory tests Simple blood tests can detect physical problems that can affect brain function, such as vitamin B-12 deficiency or an underactive thyroid gland. Sometimes the spinal fluid is examined for infection, inflammation or markers of some degenerative diseases. Psychiatric evaluation A mental health professional can determine whether depression or another mental health condition is contributing to your symptoms."
What causes Alcohol Use Disorder?,"Alcohol use disorder (Causes): Genetic, psychological, social and environmental factors can impact how drinking alcohol affects your body and behavior. Theories suggest that for certain people drinking has a different and stronger impact that can lead to alcohol use disorder. Over time, drinking too much alcohol may change the normal function of the areas of your brain associated with the experience of pleasure, judgment and the ability to exercise control over your behavior. This may result in craving alcohol to try to restore good feelings or reduce negative ones."
